" and "," e "
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens neste pedido contém faturas e postagens diferentes. Você pode criar a postagem somente depois de faturar o pedido."
"Design change deleted","Alteração de design excluída"
"Design change saved","Alteração de design salva"
"Both (without and with tax)","Ambos (sem e com imposto)"
"Samples","Amostra"
"Year","Ano"
"Prev. year (hold for menu)","Ano anterior (mantenha para menu)"
"Only mapped fields","Apenas campos mapeados"
"API:","API:"
"File","Arquivo"
"Watermark File for %s","Arquivo de marca d'água para %s"
"Invalid file: %s","Arquivo inválido: %s"
"Provided Files","Arquivos fornecidos"
"Drag to move","Arraste para mover"
"Fixed","Arrumado"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do seu servidor PHP não permite carregar arquivos com mais de %s. Por favor, modifique no arquivo php.ini o post_max_size (valor atual: %s) e o upload_max_filesize (valor atual: %s) se você deseja carregar arquivos maiores."
"The information in this tab has been changed.","As informações nessa aba foram alteradas."
"Last Logged In (%s):","Última conexão em (%s):"
"Last Logged In:","Última conexão em:"
"Latest Message:","Última mensagem:"
"Last 24 hours","Últimas 24 horas"
"Last Month","Último mês"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 termos de busca"
"Last 7 days","Últimos 7 dias"
"Price alert subscription was saved successfully","Assinatura de alerta de preço foi salva com sucesso"
"Profile Wizard","Assistente de perfil"
"Assigned","Associado"
"Subject","Assunto"
"Template Subject","Assunto do modelo"
"Active","Ativo"
"Attributes","Atributos"
"Global Attribute","Atributos globais"
"Updated At","Atualizado em"
"Upgrading $pkg, please wait...","Atualizando $pkg, por favor aguarde..."
"Upgrading selected packages, please wait...","Atualizando pacotes selecionados, por favor aguarde..."
"Upgrading all available packages, please wait...","Atualizando todos pacotes disponíveis, por favor aguarde..."
"Upgrading all packages, please wait...","Atualizando todos pacotes, por favor aguarde..."
"Upgrade","Atualizar"
"Update","Atualizar"
"Refresh","Atualizar"
"Refresh Now*","Atualizar agora*"
"Queue Refresh","Atualizar fila"
"Upgrade all packages","Atualizar todos pacotes"
"Upgrade all available packages","Atualizar todos pacotes disponíveis"
"Upgrade All Available Packages","Atualizar todos pacotes disponíveis"
"Rating was successfully deleted","Avaliação foi excluída com sucesso"
"Rating was successfully saved","Avaliação foi salva com sucesso"
"Area","Área"
"Search Index","Índice da busca"
"Search Index was rebuilt successfully","Índice de pesquisa foi reconstruído com sucesso"
"Layered Navigation Indices","Índices de navegação em camadas"
"Layered Navigation Indices were refreshed successfully","Índices de navegação em camadas foi renovado com sucesso"
"Layered Navigation Indices was refreshed successfully","Índices de navegação em camadas foi renovado com sucesso"
"b","b"
"Backup","Backup"
"Backup successfully created","Backup criado com sucesso"
"Backups","Backups"
"Downloading and installing $pkg, please wait...","Baixando e instalando $pkg, por favor aguarde..."
"Download Remote File","Baixar arquivo remoto"
"Download and Install","Baixar e instalar"
"Google Base","Base do Google"
"Invalid parrent block for this block","Bloco pai inválido para este bloco"
"Radio Buttons","Botões radio"
"Global Search","Busca global"
"Global Record Search","Busca global de registro"
"Search","Buscar"
"Image cache was cleared successfully","Cache da imagem foi apagado com sucesso"
"Images Cache","Cache das imagens"
"Messages Inbox","Caixa de mensagens"
"Checkbox","Caixa de seleção"
"Path","Caminho"
"Target Path","Caminho de destino"
"Request Path","Caminho de solicitação"
"ID Path","Caminho do ID"
"Path:","Caminho:"
"Field","Campo"
"Comment text field can not be empty.","Campo de texto comentário não pode estar vazio."
"Channel","Canal"
"Channel:","Canal:"
"Cancel","Cancelar"
"Queued... Cancel","Cancelar fila"
"Role","Cargo"
"User Role","Cargo do usuário"
"Role successfully deleted.","Cargo excluído com sucesso.."
"Role successfully saved.","Cargo salvo com sucesso."
"Roles","Cargos"
"User Roles","Cargos do usuário"
"Loading...","Carregando..."
"Upload File","Carregar arquivo"
"Upload import file","Carregar arquivo de importação"
"Upload Local File","Carregar arquivo local"
"Upload local file:","Carregar arquivo local:"
"Upload Files","Carregar arquivos"
"Upload and Install","Carregar e instalar"
"Load Template","Carregar modelo"
"Load default template","Carregar modelo padrão"
"Load local Package","Carregar pacote local"
"Shopping Cart from %s","Carrinho de compras de %s"
"Catalog","Catálogo"
"Flat Catalog Category was rebuilt successfully","Catálogo flat de categorias foi reconstruído com sucesso"
"Flat Catalog Product was rebuilt successfully","Catálogo flat de produtos foi reconstruído com sucesso"
"Catalog Rewrites","Catálogo rewrites"
"Catalog Rewrites was refreshed successfully","Catálogo rewrites foi renovado com sucesso"
"Catalog Rewrites were refreshed successfully","Catálogos rewrites foram renovados com sucesso"
"Category","Categoria"
"Category:","Categoria:"
"Coupon Code","Código de cupom"
"Card Verification Number","Código de segurança do cartão"
"Bcc","Cco"
"Zip/Postal Code","CEP"
"Zip/Postal Code:","CEP:"
"Api Key","Chave API"
"Invalid Form Key. Please refresh the page.","Chave do formulário inválida. Por favor, atualize a página."
"Invalid Secret Key. Please refresh the page.","Chave secreta inválida. Por favor, atualize a página."
"Customer","Cliente"
"Customer Since:","Cliente desde:"
"Customer was deleted","Cliente foi excluído"
"Customer was successfully saved","Cliente foi salvo com sucesso"
"Customers","Clientes"
"Invoice #%s comment added","Comentário da fatura número %s foi adicionado"
"Shipment #%s comment added","Comentário da postagem número %s adicionado"
"Credit Memo #%s comment added","Comentário do memorando de crédito número %s adicionado"
"Shipment Comments","Comentários de postagem"
"Complete","Completo"
"Logged in as %s","Conectado como %s"
"Connect with the Magento Community","Conectar com a comunidade Magento"
"Configuration","Configuração"
"Default Config","Configuração padrão"
"PEAR Configuration was successfully saved","Configuração PEAR foi salva com sucesso"
"Configuration successfully saved","Configuração salva com sucesso"
"Api Key Confirmation","Confirmação da chave API"
"Password Confirmation","Confirmação de senha"
"Module version conflict!","Conflito de versão de módulo!"
"Conflicts","Conflitos"
"PEAR Console","Console PEAR"
"Account Created on (%s):","Conta criada em (%s):"
"Account Created on:","Conta criada em:"
"Account Created in:","Conta criada em:"
"Account successfully saved","Conta salva com sucesso"
"Template Content","Conteúdo do modelo"
"Contents","Conteúdos"
"Cache Control","Controle de cache"
"Cache Control (beta)","Controle de cache (beta)"
"Convert to Plain Text","Converter para texto"
"Cookie (Unsafe)","Cookie (Não seguro)"
"Created <strong>%s</strong> items","Criado <strong>%s</strong> itens"
"Created At","Criado em"
"Create","Criar"
"Create DB Backup","Criar backup do banco de dados"
"Create New Attribute","Criar novo atributo"
"Create New Staging Store View","Criar novo estágio de visão da loja"
"Create Extension Package","Criar pacote de extensão"
"Create a backup","Criar um backup"
"Create Urlrewrite:","Criar Urlrewrite:"
"critical","CRITICAL"
"CRITICAL","CRITICAL"
"CSV","CSV"
"CSV / Tab separated","CSV / Separado por aba"
"Coupons","Cupons"
"Invalid input data for %s => %s rate","Dados de entrada inválidos para %s => taxa %s"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Dados POST inválidos (por favor, verifique as configurações do post_max_size e upload_max_filesize no arquivo php.ini)"
"Date","Data"
"Date & Time","Data & Hora"
"Date Added","Data adicionada"
"Date Updated","Data atualizada"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Start Date","Data de início"
"Date:","Data:"
"from","de"
"From","De"
"of %s pages","de %s páginas"
"Leave empty to use tax identifier","Deixe vazio para utilizar o identificador de imposto"
"Value Delimiter:","Delimitador de valores:"
"Dependencies","Dependências"
"Disabled","Desabilitado"
"Disable","Desabilitar"
"Unknown","Desconhecido"
"Description","Descricão"
"Description:","Descricão:"
"Sorry, this feature is coming soon...","Desculpe, esta funcionalidade está em desenvolvimento..."
"Design","Design"
"Uninstalling $pkg, please wait...","Desinstalando $pkg, por favor aguarde..."
"Uninstalling selected packages, please wait...","Desinstalando pacotes selecionados, por favor agurde..."
"Uninstall","Desinstalar"
"Day","Dia"
"Recursive Dir","Dir recursivo"
"Profile Direction","Direção de perfil"
"Direction:","Direção:"
"Invalid directory: %s","Diretório inválido: %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído sobre GNU LGPL. Ver %s para detalhes."
"Drop-down","Drop-down"
"Email","E-mail"
"Confirmed email:","E-mail confirmado:"
"Order confirmation email sent","E-mail de confirmação do pedido enviado"
"Order confirmation email not sent","E-mail de confirmação do pedido não enviado"
"User Email","E-mail do usuário"
"PayPal Email","E-mail PayPal"
"Email:","E-mail:"
"Separate email","E-mails separados"
"Transactional Emails","E-mails transacionais"
"Edit","Editar"
"Edit Role","Editar cargo"
"Edit Template","Editar modelo"
"Edit Email Template","Editar modelo de e-mail"
"Edit System Template","Editar modelo de sistema"
"Edit Poll","Editar pesquisa"
"Edit Tag","Editar tag"
"Edit Urlrewrite","Editar Urlrewrite"
"Edit User","Editar usuário"
"Edit User '%s'","Editar usuário '%s'"
"Edit Store View","Editar visão da loja"
"Edit Website","Editar website"
"In","Em"
"In File:","Em arquivo:"
"In Database:","Em banco de dados:"
"Issuer: %s","Emissor: %s"
"Bundle Items","Empacotar itens"
"Billing address","Endereço de cobrança"
"Billing Address","Endereço de cobrança"
"Primary Billing Address","Endereço de cobrança primário"
"Email address is empty.","Endereço de e-mail está vazio."
"Email Address:","Endereço de e-mail:"
"Shipping address","Endereço de envio"
"Shipping Address","Endereço de envio"
"Shipping address selection is not applicable","Endereço de envio não é aplicável"
"IP Address","Endereço IP"
"Invalid input:","Entrada inválida:"
"Login","Entrar"
"Log into Magento Admin Page","Entrar na página de administração do Magento"
"Log in to Admin Panel","Entrar no painel de administração"
"Submit","Enviar"
"Email to a Friend","Enviar para um amigo"
"Shipping","Envio"
"Error while updating selected review(s). Please try again later.","Erro ao atualizar opiniões selecionadas. Por favor, tente novamente mais tarde."
"Error uploading the file","Erro ao carregar o arquivo"
"Error while create backup. Please try again later","Erro ao criar backup. Por favor, tente novamente mais tarde."
"Error while deleting this role. Please try again later.","Erro ao excluir este cargo. Por favor, tente novamente mais tarde."
"Error while deleting this set.","Erro ao excluir este grupo."
"Error while finished process. Please refresh cache","Erro ao finalizar o processo. Por favor, renove o cache"
"Error while saving account. Please try again later","Erro ao gravar conta. Por favor, tente novamente mais tarde"
"Error while saving this configuration: ","Erro ao gravar esta configuração: "
"Error while saving this role. Please try again later.","Erro ao gravar este cargo. Por favor, tente novamente mais tarde."
"Error while cleared Image cache. Please try again later","Erro ao limpar o cache de Imagem. Por favor, tente novamente mais tarde."
"Search Index rebuild error. Please try again later","Erro ao reconstruir o índice de pesquisar. Tente novamente mais tarde"
"Flat Catalog Category rebuild error","Erro ao reconstruir o catálogo flat de categorias"
"Flat Catalog Product rebuild error. Please try again later","Erro ao reconstruir o catálogo flat de produtos. Por favor, tente novamente mais tarde"
"CatalogInventory Stock Status rebuild error. Please try again later","Erro ao reconstruir o status do estoque ""CatalogInventory"". Tente novamente mais tarde"
"Error while refreshed Layered Navigation Indices. Please try again later","Erro ao renovar índice da navegação por camadas. Por favor, tente novamente mais tarde"
"Error while refreshed Catalog Rewrites. Please try again later","Erro ao renovar catálogo rewrites. Por favor, tente novamente mais tarde."
"Error while saving account. Please check all required fields","Erro ao salvar conta. Por favor, verifique todos os campos obrigatórios"
"Invoice cancel error.","Erro de cancelamento da fatura."
"Credit Memo cancel error.","Erro de cancelamento do memorando de crédito."
"Invoice capture error","Erro de captura da fatura"
"Upload I/O Error","Erro de carregamento de entrada/saída"
"Upload Security Error","Erro de carregamento de segurança"
"Upload HTTP Error","Erro de carregamento HTTP"
"SSL Error: Invalid or self-signed certificate","Erro de SSL: certificado inválido"
"Unknown error","Erro desconhecido"
"Invoice void error","Erro nulo de fatura"
"Credit Memo void error","Erro nulo do memorando de crédito"
"Choose an attribute","Escolher um atributo"
"Choose Store View","Escolher visão da loja"
"Current Configuration Scope:","Escopo da configuração atual:"
"store(%s) scope","escopo da loja(%s)"
"website(%s) scope","escopo do website(%s)"
"Default scope","Escopo padrão"
"Invalid Import Service Specified","Especificado serviço inválido de importação"
"Forgot your user name or password?","Esqueceu seu usuário ou senha?"
"Forgot your password?","Esqueceu sua senha?"
"This tab contains invalid data. Please solve the problem before saving.","Esta aba contém dados inválidos. Por favor, resolva o problema antes de salvar."
"This account is","Esta conta está"
"This account is inactive.","Esta conta está inativa."
"This section is not allowed.","Esta seção não é permitida."
"Stability","Estabilidade"
"API Stability","Estabilidade da API"
"Release Stability","Estabilidade da versão"
"Region/State","Estado"
"Preferred state","Estado preferido"
"State/Province:","Estado:"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Estamos no nosso escritório, melhorando o Magento. Obrigado por sua paciência."
"This attribute shares the same value in all the stores","Este atributo compartilha o mesmo valor em todas lojas"
"This is a required field.","Este é um campo obrigatório."
"This attribute set don't have attributes which we can use for configurable product","Este grupo de atributos não tem atributos que nós podemos usar para produtos configuráveis"
"This product is currently disabled","Este produto está desabilitado"
"This user no longer exists","Este usuário não existe mais"
"Excl. Tax","Excl. imposto"
"Delete","Excluir"
"Exclude","Excluir"
"Delete %s","Excluir %s"
"Delete %s '%s'","Excluir %s '%s'"
"Exclude (comma separated)","Excluir (separado por vírgula)"
"Delete Role","Excluir cargo"
"Delete Template","Excluir modelo"
"Delete Profile","Excluir perfil"
"Delete User","Excluir usuário"
"Delete Store View","Excluir visão da loja"
"Delete Website","Excluir website"
"Finished profile execution.","Execução do perfil terminada."
"Running... Kill","Executando... Terminar"
"Running:","Executando:"
"Run","Executar"
"Run in popup","Executar em pop-up"
"Run Profile","Executar perfil"
"Run Profile Inside This Window","Executar perfil dentro desta janela"
"Run Profile In Popup","Executar perfil em pop-up"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exemplo: ""sitemap/"" ou ""/"" para caminho base (caminho deve ter permissão de escrita)"
"example: sitemap.xml","exemplo: sitemap.xml"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Matched expression","Expressões encontradas"
"Extension","Extensão"
"Extensions","Extensões"
"Package Extensions","Extensões de pacote"
"Failed to add a product to cart by id ""%s""","Falha ao adicionar produto ao carrinho id ""%s"""
"Failed to load %1$s.xml or %1$s.ser","Falha ao carregar %1$s.xml ou %1$s.ser"
"Invoice and shipment was successfully created.","Fatura e postagem foram criadas com sucesso."
"Invoice was successfully canceled.","Fatura foi cancelada com sucesso."
"Invoice was successfully captured","Fatura foi capturada com sucesso"
"Invoice was successfully created.","Fatura foi criada com sucesso."
"Invoice was successfully voided","Fatura foi nula com sucesso"
"Invoice #%s created","Fatura número %s criada"
"close","fechar"
"Close","Fechar"
"Performed At","Feito em"
"Done By:","Feito por:"
"Done by:","Feito por:"
"Tools","Ferramentas"
"Layered Navigation indexing queue cancelled","Fila de indexação da navegação por camadas cancelada."
"Finished items creation.","Finalizado criação de itens."
"Phone:","Fone:"
"Wrong column format","Formato de coluna incorreto"
"Data Format","Formato de dados"
"Remote FTP","FTP remoto"
"Gb","Gb"
"Cache Management","Gerenciador de cache"
"Poll Manager","Gerenciador de pesquisa"
"Magento Connect Manager","Gerenciador magento connect"
"Url Rewrite Management","Gerenciamento de Urlrewrite"
"Manage Customers","Gerenciar clientes"
"Manage Installed Extensions","Gerenciar extensões instaladas"
"Manage Stores","Gerenciar lojas"
"Manage osCommerce Orders","Gerenciar pedidos osCommerce"
"Manage osCommerce Profiles","Gerenciar perfis osCommerce"
"Manage Currency Rates","Gerenciar taxas de moedas"
"Manage Ratings","Gerenciar votos"
"Rotate CCW","Girar sentido anti-horário"
"Rotate CW","Girar sentido horário"
"Grid (default) / List","Grade (padrão) / Lista"
"Attribute set was successfully removed.","Grupo de atributos foi removido com sucesso."
"Attribute set successfully saved.","Grupo de atributos salvo com sucesso."
"Customer Group:","Grupo de clientes:"
"Group:","Grupo:"
"Enabled","Habilitado"
"Enable","Habilitar"
"Comments History","Histórico de comentários"
"Invoice History","Histórico de faturamento"
"Profile History","Histórico de perfil"
"Shipment History","Histórico de postagem"
"Credit Memo History","Histórico do memorando de crédito"
"Time","Hora"
"Time:","Hora:"
"HTTP (unsecure)","HTTP (não seguro)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Role ID","ID do cargo"
"SKU","ID do produto"
"SKU:","ID do produto:"
"User ID","ID do usuário"
"Ignore","Ignorar"
"Big Image","Imagem grande"
"Thumbnail","Imagem pequena"
"Product Thumbnail Itself","Imagem pequena do produto"
"Parent Product Thumbnail","Imagem pequena do produto pai"
"Images","Imagens"
"Images (.gif, .jpg, .png)","Imagens (.gif, .jpg, .png)"
"images/logo.gif","images/logo.gif"
"Import/Export Advanced","Importação/Exportação avançadas"
"Import","Importar"
"Import/Export","Importar/Exportar"
"Import/Export Profile","Importar/Exportar Perfil"
"Tax","Imposto"
"Inactive","Inativo"
"Incl. Tax","Incl. imposto"
"Include","Incluir"
"Layered Navigation indexing queued","Indexação da navegação por camadas enfileirada."
"Current Release Information","Informações da versão atual"
"File Information","Informações de arquivo"
"User Roles Information","Informações de cargos de usuários"
"Account Information","Informações de conta"
"Installed Extension Info","Informações de extensão instalada"
"Remote Extension Info","Informações de extensão remota"
"Release Info","Informações de lançamento"
"Currency Information","Informações de moeda"
"Profile Information","Informações de perfil"
"Urlrewrite Information","Informações de Urlrewrite"
"Block Information","Informações do bloco"
"Role Info","Informações do cargo"
"Role Information","Informações do cargo"
"Sitemap Information","Informações do mapa do site"
"Template Information","Informações do modelo"
"Package Information","Informações do pacote"
"Package Info","Informações do pacote"
"User Info","Informações do usuário"
"User Information","Informações do usuário"
"General Information","Informações gerais"
"Personal Information","Informações pessoais"
"Starting profile execution, please wait...","Iniciando execução do perfil, por favor aguarde..."
"Pending installation...","Instalação pendente..."
"Installed As","Instalado como"
"Installing $pkg, please wait...","Instalando $pkg, por favor aguarde..."
"Installing selected packages, please wait...","Instalando pacotes selecionados, por favor aguarde..."
"Install","Instalar"
"Install Package File","Instalar arquivo de pacote"
"Interactive","Interativo"
"Individual Item","Item individual"
"Items","Itens"
"Google Base Items","Itens da base do Google"
"Items to merge","Itens para unir"
"items selected","itens selecionados"
"Customer with the same email already exists.","Já existe cliente com o mesmo e-mail."
"User with the same User Name or Email aleady exists","Já existe usuário com o mesmo nome ou e-mail"
"Kb","Kb"
"Release","Lançamento"
"Read details","Ler detalhes"
"License","Licença"
"License URI","Licença de URI"
"License:","Licença:"
"Clear","Limpar"
"Reset Filter","Limpar filtro"
"Unselect All","Limpar seleções"
"Unselect Visible","Limpar seleções visíveis"
"Links","Links"
"List (default) / Grid","Lista (padrão) / Grade"
"Locale","Localidade"
"Interface Locale: %s","Localidade da interface: %s"
"Changelog","Log de alterações"
"Magento Logo","Logo do Magento"
"Store","Loja"
"Staging Store: ","Loja estágio"
"Store:","Loja:"
"Store: ","Loja:"
"Magento Admin","Magento Admin"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento é uma marca registrada de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento Connect","Magento Connect"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; é uma marca registrada de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Bestsellers","Mais vendidos"
"major","MAJOR"
"MAJOR","MAJOR"
"Maintainers","Mantenedores"
"Field Mapping","Mapeamento de campo"
"Mapping Configuration","Mapeando configuração"
"Max","Max"
"Maximum","Máximo"
"Average Orders","Média de pedidos"
"Average Order Amount","Média de valor de pedido"
"Shipping method must be specified","Método de envio deve ser especificado"
"Shipping method selection is not applicable","Método de envio não é aplicável"
"Payment method must be specified","Método de pagamento deve ser especificado"
"Month","Mês"
"Prev. month (hold for menu)","Mês anterior (mantenha para menu)"
"Media (.avi, .flv, .swf)","Mídia (.avi, .flv, .swf)"
"Minimum","Mínimo"
"Mb","Mb"
"md5sum","md5sum"
"Credit Memo was successfully voided","Memorando de crédito anulado com sucesso"
"Credit Memo was successfully canceled.","Memorando de crédito foi cancelado com sucesso."
"Credit Memo was successfully created","Memorando de crédito foi criado com sucesso"
"Credit Memo #%s created","Memorando de crédito número %s criado"
"Min","Min"
"My Account","Minha conta"
"minor","MINOR"
"MINOR","MINOR"
"Template","Modelo"
"Default Template from Locale","Modelo padrão de localidade"
"Passive mode","Modo passivo"
"Currency","Moeda"
"Selected allow currency ""%s"" is not available in installed currencies","Moeda ""%s"" selecionada não está disponível nas moedas instaladas"
"Selected base currency is not available in installed currencies","Moeda base selecionada não está disponível nas moedas instaladas"
"Default display currency ""%s"" is not available in allowed currencies","Moeda de exibição padrão ""%s"" não está disponível em moedas permitidas"
"Base currency","Moeda padrão"
"Selected default display currency is not available in installed currencies","Moeda selecionada como padrão de exibição não está disponível nas moedas instaladas"
"Selected default display currency is not available in allowed currencies","Moeda selecionada como padrão de exibição não está disponível nas moedas permitidas"
"Display %s first","Mostrar %s primeiro"
"Display default currency","Mostrar moeda padrão"
"Show reviews","Mostrar opiniões"
"Show by","Mostrar por"
"Show Report for","Mostrar relatório para"
"MS Excel XML","MS Excel XML"
"N/A","N/A"
"None","Nada"
"No","Não"
"No (price without tax)","Não (preço sem imposto)"
"Can not add tracking number.","Não foi possível adicionar número de rastreamento."
"Can not add new comment.","Não foi possível adicionar novo comentário."
"Can not update item qty","Não foi possível atualizar a quantidade do item"
"Can not load track with retrieving identifier.","Não foi possível carregar o rastreamento com identificador recuperado."
"Can not do credit memo for order","Não foi possível criar memorando de crédito para compra"
"Can't find email address.","Não foi possível encontrar endereço de e-mail."
"Unable to find a tag to delete","Não foi possível encontrar tag para excluir"
"Unable to find a poll to delete","Não foi possível encontrar uma pesquisa para excluir"
"Unable to find a user to delete","Não foi possível encontrar usuário para excluir"
"Can not send shipment information.","Não foi possível enviar informações de postagem."
"Can't delete design change","Não foi possível excluir alteração de design"
"Can not delete tracking number.","Não foi possível excluir número de rastreamento."
"Can not do invoice for order","Não foi possível fazer fatura para compra"
"Can not do shipment for order.","Não foi possível fazer postagem para compra."
"Unable to initialize import model","Não foi possível inicializar modelo de importação"
"Can not initialize shipment for adding tracking number.","Não foi possível inicializar postagem para adicionar número de rastreamento."
"Can not initialize shipment for delete tracking number.","Não foi possível inicializar postagem para excluir número de rastreamento."
"Can not retrieve tracking number detail.","Não foi possível obter detalhes do número de rastreamento."
"Unable to save Cron expression","Não foi possível salvar expressão de cron"
"Can not save invoice","Não foi possível salvar fatura"
"Can not save credit memo","Não foi possível salvar memorando de crédito"
"Can not save shipment.","Não foi possível salvar postagem."
"Level","Nível"
"Issue Number","Número de cadastro"
"Number of Orders","Número de pedidos"
"Tracking number %s for %s assigned","Número de rastreamento %s para %s associado"
"Tracking number can not be empty.","Número de rastreamento não pode ser vazio."
"Number of records:","Número de registros:"
"Number of Use","Número de uso"
"Number of Uses","Número de usos"
"Credit Card Number","Número do cartão de crédito"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"No Data Found","Nenhum dado encontrado"
"No search modules registered","Nenhum modelo de busca registrado"
"No Templates Found","Nenhum modelo encontrado"
"No profile","Nenhum perfil"
"No profile loaded...","Nenhum perfil carregado..."
"No records found for this period.","Nenhum registro encontrado para este período."
"No records found.","Nenhum registro encontrado."
"No change","Nenhuma alteração"
"No Extensions Found","Nenhuma extensão encontrada"
