"%s was successfully added to your shopping cart.","%s foi adicionado ao seu carrinho de compras com sucesso"
"Checkout with Multiple Addresses","Finalizar compra com múltiplos endereços"
"Checkout as Guest","Finalizar compra como visitante"
"Checkout as a Guest or Register","Finalizar compra como visitante ou registre-se"
"Manage Checkout Terms and Conditions","Gerenciar termos e condições de finalização de compra"
"Enabled","Habilitado"
"Enable Terms and Conditions","Habilitar termos e condições"
"HTML","HTML"
"ID","ID"
"Grouped product image","Imagem de produto agrupado"
"Configurable product image","Imagem de produto configurável"
"Incl. Tax","Incl. imposto"
"Billing Information","Informações de cobrança"
"Billing Information - %s","Informações de cobrança - %s"
"Shipping Information","Informações de envio"
"Payment Information","Informações de pagamento"
"Terms and Conditions Information","Informações sobre termos e condições"
"Enter your destination to get a shipping estimate.","Insira seu endereço para calcular o valor do frete."
"Enter a New Address","Insira um novo endereço"
"Recently added item(s)","Item(s) recentemente adicionado(s)"
"Items","Itens"
"Already registered?","Já é registrado?"
"There is already a customer registered using this email address","Já existe um cliente registrado usando este endereço de e-mail"
"My Cart Link","Link do meu carrinho"
"Shipping Method","Método de envio"
"Send Payment Failed Email Copy Method","Método de envio de cópia de e-mail de erro no pagamento"
"Invalid shipping method.","Método de envio inválido."
"Shipping method has not been selected yet","Método de envio não foi selecionado ainda"
"Checkout method","Método de finalização de compra"
"Payment Method","Método de pagamento"
"Payment method is not defined","Método de pagamento não foi definido"
"Shipping Methods","Métodos de envio"
"My Cart","Meu carrinho"
"My Cart (%s item)","Meu carrinho (%s item)"
"My Cart (%s items)","Meu carrinho (%s itens)"
"My Account","Minha conta"
"Payment Failed Template","Modelo de erro no pagamento"
"Display Shopping Cart Sidebar","Mostrar barra lateral do carrinho de compras"
"Show Content as","Mostrar contéudo como"
"Display number of items in cart","Mostrar número de itens no carrinho"
"Display item quantities","Mostrar quantidade de itens"
"Display Cart Summary","Mostrar sumário do carrinho"
"Move to Wishlist","Mover para a lista de desejos"
"Shipping selection is not applicable","Não é possível utilizar método de envio selecinada"
"Can't open overview page","Não foi possível abrir a página de resumo"
"Can not add item to shopping cart","Não foi possível adicionar item ao carrinho de compras"
"Cannot update shopping cart","Não foi possível atualizar o carrinho de compras"
"Cannot remove item","Não foi possível remover o item"
"Can not apply coupon code.","Não foi possível usar o cupom de desconto."
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Nós estamos processando seu pedido e você logo receberá um e-mail com mais detalhes. Ao enviarmos o pedido, você receberá outro e-mail com um link para rastreá-lo."
"Condition Name","Nome da condição"
"Product Name","Nome do produto"
"New Condition","Nova condição"
"New Address","Novo endereço"
"Your order number is ","O número do seu pedido é "
"Your order # is: %s","O número do seu pedido é: %s"
"Your order # is: <a href=""%s"">%s</a>","O número do seu pedido é: <a href=”%s”>%s</a>"
"Thank you for your purchase!","Obrigado pela sua compra!"
"An error occurred in the process of payment","Ocorreu um erro durante o processo de pagamento"
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro processando seu pedido. Por favor, entre em contato conosco ou tente novamente mais tarde."
"Checkout Options","Opções de finalização de compra"
"Other items in your order","Outros itens em seu pedido"
"Country","País"
"Order #","Pedido número"
"Order Success","Pedido realizado com sucesso"
"osCommerce Orders","Pedidos osCommerce"
"Allow Guest Checkout","Permitir finalizar compra como visitante"
"Please agree to all Terms and Conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de finalizar o pedido."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, concorde com todos os termos e condições antes de finalizar os pedidos."
"Please log in below:","Por favor, entre abaixo:"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90602123 ou 90602-123."
"Please select shipping address for applicable items","Por favor, selecione endereço de envio para os itens aplicáveis"
"Please select region, state or province","Por favor, selecione o estado"
"Please select shipping methods for all addresses","Por favor, selecione o método de envio para todos endereços"
"Price","Preço"
"Unit Price","Preço unitário"
"Data saving problem","Problema ao gravar dados"
"Product","Produto"
"Product does not exist","Produto não existe"
"Your Checkout Progress","Progresso da sua compra"
"Qty","Qtde"
"Maximum qty allowed for Shipping to multiple addresses is %s","Quantidade máxima permitida de envio para múltiplos endereços é %s"
"Card Verification Number Visual Reference","Referência visual do código de segurança do cartão"
"Register","Registrar"
"Register to Create an Account","Registrar-se"
"Register with us for future convenience:","Registre-se para futura conveniência:"
"Remove","Remover"
"Remove item","Remover item"
"Remove Item","Remover item"
"Remove Product","Remover produto"
"Review Order","Rever pedido"
"Order Review","Rever pedido"
"Review Order - %s","Rever pedido - %s"
"Save Condition","Salvar condição"
"Save in address book","Salvar no livro de endereços"
"Enter your coupon code if you have one.","Se possuir, insira o código do cupom."
"Checkout Section","Seção de finalização de compra"
"Select Address","Selecionar endereço"
"Select Addresses","Selecionar endereços"
"Select State/Province...","Selecionar estado..."
"Select Shipping Method","Selecione o método de envio"
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança da sua lista de endereços ou cadastre um novo."
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de envio da sua lista de endereços ou cadastre um novo."
"Password","Senha"
"separate by "",""","separado por "","""
"Your order has been received","Seu pedido foi recebido"
"Status","Status"
"Subtotal","Subtotal"
"Cart Subtotal:","Subtotal do carrinho:"
"Telephone","Telefone"
"Terms and conditions","Termos e condições"
"Terms and Conditions","Termos e condições"
"Checkout Terms and Conditions","Termos e condições para finalizar compra"
"Text","Texto"
"Checkbox text","Texto da caixa de seleção"
"Total","Total"
"Total for this address","Total para este endereço"
"Grand Total:","Total:"
"Change Billing Address","Trocar endereço de cobrança"
"Apply Coupon","Usar cupom"
"Use Billing Address","Usar o endereço de cobrança"
"Quote Lifetime (days)","Validade da cotação (dias)"
"Sales","Vendas"
"Store View","Visão da loja"
"You have no items in your shopping cart.","Você não tem itens no seu carrinho de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação de compra com mais detalhes e um link para rastreá-lo."
"Are you sure you would like to remove this item from the shopping cart?","Você tem certeza que deseja remover este item do seu carrinho de compras?"
"Back","Voltar"
"Back to Shipping Information","Voltar para informações de envio"
