" and "," e "
"Archive file name:","Nome do arquivo comprimido:"
"File name:","Nome do arquivo:"
"Attribute Set Name:","Nome do grupo de atributos:"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"Name:","Nome:"
"First Name:","Nome:"
"Original Magento attribute names in first row:","Nomes originais de atributo do Magento na primeira linha:"
"Note:","Nota:"
"Notes:","Notas:"
"notice","NOTICE"
"What is this?","O que é isto?"
"Get help for this page","Obter ajuda para esta página"
"Sort Order","Ordem de ordenação"
"Show Report for","Origem do envio"
"or","ou"
"Country:","País:"
"Package","Pacote"
"Packages","Pacotes"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacotes com preços dinâmicos não pode incluir opções personalizadas. Opções não serão salvas."
"Dashboard","Painel"
"to","para"
"To","Para"
"For latest version visit: %s","Para última versão visite: %s"
"Page","Página"
"Previous page","Página anterior"
"Custom","Personalizado"
"Please wait, loading...","Por favor aguarde, carregando..."
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme mudança de site. Todo dado que não foi salvo será perdido."
"Please enter 6 or more characters.","Por favor, insira 6 ou mais caracteres."
"Please enter a valid zip code.","Por favor, insira um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90602123 ou 90602-123."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo, joao@dominio.com.br"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, insira um número de telefone válido. Por exemplo (12) 3456-7890."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a valid URL. http:// is required","Por favor, insira um URL válido. http:// é obrigatório"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid value from list","Por favor, insira um valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor, insira um valor válido, ex: 10,20,30"
"Please enter a valid date.","Por favor, insira uma data válida."
"Please enter a valid $ amount. For example $100.00.","Por favor, insira uma quantia R$ válida. Por exemplo R$ 100.00."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please select State/Province.","Por favor, selecione estado."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please select an option.","Por favor, selecione uma opção."
"Please, select a store view","Por favor, selecione uma visão de loja"
"Please make sure your passwords match.","Por favor, tenha certeza que as senhas são iguais."
"Please make sure that your changes were saved before running the profile.","Por favor, tenha certeza que suas modificações foram salvas antes de executar o perfil."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de março de 2006."
"Please use in this field only ""a-z,0-9,_"".","Por favor, use somente ""a-z,0-9,_"" neste campo."
"Please use letters only (a-z) in this field.","Por favor, use somente letras (a-z) neste campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z), números (0-9) ou espaços e # neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use somente números neste campo. Evite espaços ou caracteres como pontos ou vírgulas."
"per page","por página"
"Email Preview","Pré-visualizar e-mail"
"Next page","Próxima página"
"Next year (hold for menu)","Próximo ano (mantenha para menu)"
"Next month (hold for menu)","Próximo mês (mantenha para menu)"
"Price","Preço"
"Final Price","Preço final"
"Price:","Preço:"
"Processed <strong>%s%% %s/%d</strong> items","Processado <strong>%s%% %s/%d</strong> itens"
"Product","Produto"
"Products","Produtos"
"Available Products","Produtos disponíveis"
"Qty","Qtde"
"Stock Quantity:","Quantidade em estoque:"
"Track order","Rastrear compra"
"Track this shipment","Rastrear essa postagem"
"Recommended","Recomendado"
"Resources","Recursos"
"Roles Resources","Recursos dos cargos"
"Remove","Remover"
"Log Out","Sair"
"Magento Core Api Section","Seção de API do Magento Core"
"Select date","Selecionar data"
"Select Date","Selecionar data"
"Date selection:","Selecionar data:"
"Time selection:","Selecionar hora:"
"Select Range","Selecionar intervalo"
"Select All","Selecionar todos"
"Select Visible","Selecionar visíveis"
"Select website from map","Selecione o website de onde mapear"
"Select website to map","Selecione o website para mapear"
"Date selector","Seletor de data"
"DHTML Date/Time Selector","Seletor DHTML de data/hora"
"Password","Senha"
"Decimal separator:","Separador decimal:"
"Import Service","Serviço de importação"
"Web Services","Serviços web"
"FTP Host[:Port]","Servidor FTP[:porta]"
"Local Server","Servidor local"
"Local/Remote Server","Servidor Local/Remoto"
"Yes","Sim"
"About the calendar","Sobre o calendário"
"Last Name:","Sobrenome:"
"Status","Status"
"Status:","Status:"
"Your Account has been deactivated.","Sua conta foi desativada."
"Subpackage","Sub pacote"
"Subpackages","Sub pacotes"
"Summary:","Sumário:"
"Switch/Solo card start Date: %s/%s","Switch/Solo data de início do cartão: %s/%s"
"Switch/Solo card issue number: %s","Switch/Solo número de emissão do cartão: %s"
"Switch/Solo Only","Switch/Solo somente"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data de início do cartão: %s/%s"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) número de emissão do cartão: %s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) somente"
"Old rate:","Taxa antiga:"
"Client Session timeout (sec.)","Tempo de expiração da sessão do cliente (seg.)"
"Type","Tipo"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Address Type:","Tipo de endereço:"
"Entity type:","Tipo de entidade:"
"Type:","Tipo:"
"All fields","Todos campos"
"All Websites","Todos websites"
"Top 5 Search Terms","Top 5 termos de busca"
"Total %d records found","Total %d registros encontrados"
"Order Totals","Total da compra"
"Invoice Totals","Total da fatura"
"Credit Memo Totals","Total de memorandos de crédito"
"Data transfer:","Transferência de dados:"
"All","Tudo"
"Merge Now","Unir agora"
"Remote URL:","URL remoto:"
"Use Default Value","Usar valor padrão"
"User","Usuário"
"Users","Usuários"
"Role Users","Usuários do cargo"
"Enclose Values In:","Valores incluídos em:"
"Default Values","Valores padrões"
"Default (Admin) Values","Valores padrões (admin)"
"Go Today","Vá hoje"
"Magento ver. %s","Versão do Magento: %s"
"Version:","Versão:"
"Visibility:","Visibilidade:"
"View","Visualizar"
"View Statistics for","Visualizar estatísticas para"
"You have","Você tem"
"Are you sure that you want to delete this template?","Você tem certeza que deseja excluir este modelo?"
"Are you sure that you want to strip tags?","Você tem certeza que deseja remover as tags?"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Invalid webservice adapter specified","Webservice adapter especificado inválido"
"Invalid webservice handler specified","Webservice handler especificado inválido"
"Staging Website: ","Website estágio:"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Lojas"
