"%s already exist","%s já existe"
"%s already exists","%s já existem"
"-- Please Select --","-- Por favor, selecione --"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging de Mage::logException(). Arquivo está localizado em {{base_dir}}/var/log"
"Store","Loja"
"Requested invalid store ""%s""","Loja ""%s"" solicitada inválida"
"Store with the same code","Loja com o mesmo código"
"Store was successfully deleted.","Loja foi excluída com sucesso."
"Store was successfully saved","Loja foi salva com sucesso"
"Store doesn't exist","Loja não existe"
"Default Store","Loja padrão"
"Module ""%1$s"" can not be depended from ""%2$s""","Módulo ""%1$s"" não pode depender de ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Módulo ""%1$s"" requer módulo ""%2$s"""
"Invalid messages storage ""%s"" for layout messages initialization","Mensagens de armazenamento ""%s"" inválido para inicialização de mensagens de layout"
"Templates","Modelos"
"No","Não"
"Can't retrieve request object","Não é possível obter objeto solicitado"
"Unable to proceed. Please, try again","Não foi possível continuar. Por favor, tente novamente"
"Unable to delete store. Please, try again later.","Não foi possível excluir loja. Por favor, tente novamente mais tarde."
"Cannot Delete Email Template","Não foi possível excluir modelo de e-mail"
"Unable to delete store view. Please, try again later.","Não foi possível excluir visão da loja. Por favor, tente novamnte mais tarde."
"Unable to delete website. Please, try again later.","Não foi possível excluir website. Por favor, tente novamente mais tarde."
"Can't retrieve entity config: %s","Não foi possível obter a configuração da entidade: %s"
"Wrong number of arguments for %s","Número incorreto de argumentos para %s"
"Name","Nome"
"Store Name","Nome da loja"
"Empty main table name","Nome da tabela principal vazio"
"Store View Name","Nome da visão da loja"
"System Log File Name","Nome do arquivo de log do sistema"
"Empty identifier field name","Nome do campo do identificador vazio"
"Exceptions Log File Name","Nome do log de exceções"
"Current package name","Nome do pacote atual"
"Model collection resource name is not defined","Nome do recurso de coleção de modelo não está definido"
"Sender name","Nome do remetente"
"Website Name","Nome do website"
"Invalid block name to set child %s: %s","Nome inválido de bloco para definir filho %s: %s"
"New Design Change","Nova alteração de design"
"New Store","Nova loja"
"New Store View","Nova visão de loja"
"New Website","Novo website"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que você inseriu é inválido. Por favor, tenha certeza que isto segue o formato ""http://dominio.com.br/""."
"Locale options","Opções de localidade"
"Url Options","Opções de URL"
"Backup options","Opções do backup"
"Countries options","Opções dos países"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","or favor, tenha certeza que o URL base termina com '/' (barra), ex: http://seudominio/magento/"
"Sort order","Ordem de ordenação"
"Search Engines Optimization","Otimização do mecanismo de busca"
"Default country","País padrão"
"Package","Pacotes"
"Default","Padrão"
"Default no-route url","Padrão de URL sem rota"
"Default Keywords","Palavras-chave padrões"
"Startup page","Página inicial"
"Default Pages","Páginas padrões"
"Allow countries","Permitir países"
"Search","Pesquisar"
"Polls","Pesquisas"
"Please wait, loading...","Por favor aguarde, carregando..."
"Please define flag code.","Por favor, defina o código da bandeira"
"Please choose to register or to checkout as a guest","Por favor, escolha registrar ou finalizar como visitante."
"Please specify shipping method.","Por favor, especifique o método de envio"
"Please specify payment method.","Por favor, especifique o método de pagamento"
"Please enter 6 or more characters.","Por favor, insira 6 ou mais caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor, insira 6 ou mais caracteres. Espaços antes ou depois serão ignorados."
"Please enter a valid zip code.","Por favor, insira um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90999002."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo, joao@dominio.com.br"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, insira um número de telefone válido. Por exemplo (12) 3456-7890."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a valid URL. http:// is required","Por favor, insira um URL válido. http:// é obrigatório"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid date.","Por favor, insira uma data válida."
"Please enter a valid $ amount. For example $100.00.","Por favor, insira uma quantia R$ válida. Por exemplo R$ 100.00."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please select State/Province.","Por favor, selecione estado."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please select an option.","Por favor, selecione uma opção."
"Please make sure your passwords match.","Por favor, tenha certeza que as senhas são iguais."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de março de 2006."
"Please use letters only (a-z or A-Z) in this field.","Por favor, use somente letras (a-z ou A-Z) neste campo"
"Please use letters only (a-z) in this field.","Por favor, use somente letras (a-z) neste campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z), números (0-9) ou espaços e # neste campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use somente letras (a-z), números (0-9) ou underscore(_) neste campo e o primeiro caractere deve ser uma letra."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use somente números neste campo. Evite espaços ou caracteres como pontos ou vírgulas."
"Port (25)","Porta (25)"
"Title Prefix","Prefixo do título"
"First Day of Week","Primeiro dia da semana"
"Search entire store here...","Procurar em toda a loja..."
"Profiler","Profiler"
"Prototype Deprecation Log","Protótipo de log de deprecação"
"Resource is not set","Recurso não está definido"
"Sales representative","Representante de vendas"
"Developer Client Restrictions","Restrições do cliente do desenvolvedor"
"Default Robots","Robôs padrões"
"Footer","Rodapé"
"Save","Salvar"
"Save Store","Salvar loja"
"Save Store View","Salvar visão da loja"
"Save Website","Salvar website"
"Miscellaneous scripts","Scripts variados"
"Security","Segurança"
"Select Date","Selecionar data"
"Services","Serviços"
"Host","Servidor"
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser concluído neste momento pois não há métodos de entrega disponíveis para ele. Por favor, faça as mudanças necessárias no seu endereço de entrega."
"Your order can not be completed at this time as there is no payment methods available for it.","Seu pedido não pode ser finalizado no momento, pois não há métodos de pagamento disponíveis."
"Yes","Sim"
"System","Sistema"
"Skin (Images / CSS)","Skin (imagens / CSS)"
"This category only","Somente esta categoria"
"This category and its products only","Somente esta categoria e seus produtos"
"This category and its child categories only","Somente esta categoria e suas categorias filho"
"Logo Image Src","Src da imagem de logo"
"Status","Status"
"Your session has been expired, you will be relogged in now.","Sua sessão expirou, você será reconectado agora."
"Title Suffix","Sufixo do título"
"Customer support","Suporte ao cliente"
"Default Title","Título padrão"
"Themes","Temas"
"Session Lifetime, Seconds","Tempo de vida da sessão, segundos"
"Cookie Lifetime","Tempo de vida do cookie"
"Welcome Text","Texto de boas-vindas"
"Invalid base url type","Tipo inválido de URL base"
"Invalid block type: %s","Tipo inválido do bloco: %s"
"Translations","Traduções"
"Translate Inline","Traduzir inline"
"Base URL","URL base"
"Admin Base URL","URL base da administração"
"Base Media URL","URL base de media"
"Base Skin URL","URL base de skin"
"Base JavaScript URL","URL base do JavaScript"
"Base Link URL","URL base do link"
"Custom admin URL","URL da administração personalizada"
"Default web url","URL web padrão"
"Use HTTP Only","Usar somente HTTP"
"Use custom admin URL","Usar URL personalizado do admin"
"Use Secure URLs in Admin","Usar URLs seguras em Admin"
"Use Secure URLs in Frontend","Usar URLs seguras em Frontend"
"Use Web Server Rewrites","Usar web server rewrites"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Values less than 60 are ignored.","Valores menores que 60 são ignorados."
"Store View","Visão da loja"
"Store view was successfully deleted.","Visão da loja foi excluída com sucesso."
"Store View was successfully saved","Visão da loja foi salva com sucesso"
"Store view doesn't exist","Visão da loja não existe"
"Default Store View","Visão padrão da loja"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Web","Web"
"Website","Website"
"Website with the same code","Website com o mesmo código"
"Website was successfully deleted.","Website foi excluído com sucesso."
"Website was successfully saved","Website foi salvo com sucesso"
"Website doesn't exist","Website não existe"
